year	month	day	time	        speed	log10speed
1994	3	7	1994.179329	0.1	-1
1995	3	27	1995.233402	0.12	-0.920818754
1995	6	12	1995.444216	0.133	-0.876148359
1996	1	4	1996.008214	0.166	-0.779891912
1996	6	10	1996.440794	0.2	-0.698970004
1997	5	7	1997.347023	0.3	-0.522878745
1998	1	26	1998.069815	0.333	-0.477555766
1998	8	15	1998.620123	0.4	-0.397940009
1998	8	24	1998.644764	0.45	-0.346787486
1999	2	26	1999.154004	0.5	-0.301029996
1999	5	17	1999.373032	0.55	-0.259637311
1999	8	2	1999.583847	0.6	-0.22184875
1999	10	25	1999.813826	0.733	-0.134896025
1999	12	12	1999.945243	0.8	-0.096910013
2000	3	8	2000.183436	1	0
2000	10	20	2000.80219	1.5	0.176091259
2001	4	23	2001.308693	1.7	0.230448921
2001	7	2	2001.500342	1.8	0.255272505
2001	8	27	2001.653662	2	0.301029996
2002	1	7	2002.017796	2.2	0.342422681
2002	4	2	2002.250513	2.4	0.380211242
2002	8	26	2002.65024	2.8	0.447158031
2002	11	14	2002.869268	3.06	0.485721426
2003	6	23	2003.474333	3.2	0.505149978
2004	2	2	2004.087611	3.4	0.531478917
2004	6	21	2004.47091	3.6	0.556302501
2004	11	15	2004.873374	3.8	0.579783597
					
					
