SEASON	Cleveland	Buffalo
2008-2009	79.7	100.2
2007-2008	77.2	103.8
2006-2007	76.5	88.9
2005-2006 	50.6	78.2
2004-2005	117.9	109.1
2003-2004	91.2	100.9
2002-2003	95.7	111.3
2001-2002	46	132.4
2000-2001	78.1	158.7
1999-2000	60.1	63.6
1998-1999	62.4	100.5
1997-1998	34	75.6
1996-1997	55.9	97.6
1995-1996	101.1	141.4
1994-1995	43.6	74.6
1993-1994	72.5	112.7
1992-1993	88.5	93.2
1991-1992	65.7	92.8
1990-1991	47.1	57.5
1989-1990	62.6	93.7
1988-1989	54.8	67.4
1987-1988	71.3	56.4
1986-1987	55.8	67.5
1985-1986	58.3	114.7
1984-1985	63.7	107.2
1983-1984	79.4	132.5
1982-1983	38	52.4
1981-1982	100.5	112.4
1980-1981	60.5	60.9
1979-1980	38.7	68.4
1978-1979	38.3	97.3
1977-1978	90.1	154.3
1976-1977	63.4	199.4
1975-1976	54.4	82.5
1974-1975	67	95.6
1973-1974	58.5	88.7
1972-1973	68.5	78.8
1971-1972	45.6	109.9
1970-1971	51.4	97
1969-1970	53.4	120.5
1968-1969	37	78.4
