"ID" "Exam1" "Exam2" "HW" "Final" "Major" "Group"
"1" 83 83 98 75 3 1
"2" 75 79 91 79 2 1
"3" 71 76 43 63 3 1
"4" 92 96 87 87 2 1
"5" 84 70 93 81 2 1
"6" 97 95 96 79 2 1
"7" 86 91 98 87 2 1
"8" 75 97 64 89 3 1
"9" 95 100 98 93 2 1
"10" 92 93 98 81 3 1
"11" 86 75 96 72 3 2
"12" 75 65 80 60 2 2
"13" 79 89 92 81 1 2
"14" 73 65 62 59 2 2
"15" 59 50 54 25 2 2
"16" 76 93 89 87 1 2
"17" 97 92 87 89 1 2
"18" 89 97 98 89 1 2
"19" 79 72 74 73 1 2
"20" 83 87 64 75 1 2
"21" 46 50 32 25 1 2
"22" 83 98 91 87 2 2
"23" 62 70 74 57 3 2
